uid,boundary
1,"POLYGON((0.112026795373397 51.4416977402285, 0.11047086765987 51.4411378072944, 0.11047086765987 51.4400179208315, 0.112026795373397 51.4394579673026, 0.113582723086924 51.4400179208315, 0.113582723086924 51.4411378072944, 0.112026795373397 51.4416977402285))"
2,"POLYGON((0.056013397686415 51.4416977402285, 0.054457469972888 51.4411378072944, 0.054457469972888 51.4400179208315, 0.056013397686415 51.4394579673026, 0.057569325399942 51.4400179208315, 0.057569325399942 51.4411378072944, 0.056013397686415 51.4416977402285))"
3,"POLYGON((-0.024894843417003 51.4416977402285, -0.02645077113053 51.4411378072944, -0.02645077113053 51.4400179208315, -0.024894843417003 51.4394579673026, -0.023338915703476 51.4400179208315, -0.023338915703476 51.4411378072944, -0.024894843417003 51.4416977402285))"
4,"POLYGON((0.052901542259361 51.4416977402285, 0.051345614545833 51.4411378072944, 0.051345614545833 51.4400179208315, 0.052901542259361 51.4394579673026, 0.054457469972888 51.4400179208315, 0.054457469972888 51.4411378072944, 0.052901542259361 51.4416977402285))"
5,"POLYGON((-0.071572674822821 51.4416977402285, -0.073128602536348 51.4411378072944, -0.073128602536348 51.4400179208315, -0.071572674822821 51.4394579673026, -0.070016747109294 51.4400179208315, -0.070016747109294 51.4411378072944, -0.071572674822821 51.4416977402285))"
6,"POLYGON((0.05912525311347 51.4416977402285, 0.057569325399942 51.4411378072944, 0.057569325399942 51.4400179208315, 0.05912525311347 51.4394579673026, 0.060681180826997 51.4400179208315, 0.060681180826997 51.4411378072944, 0.05912525311347 51.4416977402285))"
7,"POLYGON((-0.068460819395766 51.4416977402285, -0.070016747109294 51.4411378072944, -0.070016747109294 51.4400179208315, -0.068460819395766 51.4394579673026, -0.066904891682239 51.4400179208315, -0.066904891682239 51.4411378072944, -0.068460819395766 51.4416977402285))"
8,"POLYGON((-0.140033494218021 51.4416977402285, -0.141589421931548 51.4411378072944, -0.141589421931548 51.4400179208315, -0.140033494218021 51.4394579673026, -0.138477566504493 51.4400179208315, -0.138477566504493 51.4411378072944, -0.140033494218021 51.4416977402285))"
9,"POLYGON((0.060681180826997 51.4433774978418, 0.05912525311347 51.4428175855022, 0.05912525311347 51.4416977402285, 0.060681180826997 51.4411378072944, 0.062237108540524 51.4416977402285, 0.062237108540524 51.4428175855022, 0.060681180826997 51.4433774978418))"
10,"POLYGON((0.132253855649251 51.4433774978418, 0.130697927935724 51.4428175855022, 0.130697927935724 51.4416977402285, 0.132253855649251 51.4411378072944, 0.133809783362779 51.4416977402285, 0.133809783362779 51.4428175855022, 0.132253855649251 51.4433774978418))"
11,"POLYGON((0.070016747108161 51.4433774978417, 0.068460819394633 51.4428175855022, 0.068460819394633 51.4416977402285, 0.070016747108161 51.4411378072944, 0.071572674821688 51.4416977402285, 0.071572674821688 51.4428175855022, 0.070016747108161 51.4433774978417))"
12,"POLYGON((0.057569325399942 51.4433774978418, 0.056013397686415 51.4428175855022, 0.056013397686415 51.4416977402285, 0.057569325399942 51.4411378072944, 0.05912525311347 51.4416977402285, 0.05912525311347 51.4428175855022, 0.057569325399942 51.4433774978418))"
13,"POLYGON((0.049789686832306 51.445057193672, 0.048233759118779 51.4444973019267, 0.048233759118779 51.4433774978418, 0.049789686832306 51.4428175855022, 0.051345614545833 51.4433774978418, 0.051345614545833 51.4444973019267, 0.049789686832306 51.445057193672))"
14,"POLYGON((0.056013397686415 51.445057193672, 0.054457469972888 51.4444973019267, 0.054457469972888 51.4433774978418, 0.056013397686415 51.4428175855022, 0.057569325399942 51.4433774978418, 0.057569325399942 51.4444973019267, 0.056013397686415 51.445057193672))"
15,"POLYGON((0.046677831405252 51.445057193672, 0.045121903691724 51.4444973019267, 0.045121903691724 51.4433774978418, 0.046677831405252 51.4428175855022, 0.048233759118779 51.4433774978418, 0.048233759118779 51.4444973019267, 0.046677831405252 51.445057193672))"
16,"POLYGON((-0.090243807385148 51.445057193672, -0.091799735098675 51.4444973019267, -0.091799735098675 51.4433774978418, -0.090243807385148 51.4428175855022, -0.088687879671621 51.4433774978418, -0.088687879671621 51.4444973019267, -0.090243807385148 51.445057193672))"
17,"POLYGON((0.068460819394633 51.445057193672, 0.066904891681106 51.4444973019267, 0.066904891681106 51.4433774978417, 0.068460819394633 51.4428175855022, 0.070016747108161 51.4433774978417, 0.070016747108161 51.4444973019267, 0.068460819394633 51.445057193672))"
18,"POLYGON((0.05912525311347 51.445057193672, 0.057569325399942 51.4444973019267, 0.057569325399942 51.4433774978418, 0.05912525311347 51.4428175855022, 0.060681180826997 51.4433774978418, 0.060681180826997 51.4444973019267, 0.05912525311347 51.445057193672))"
19,"POLYGON((0.045121903691724 51.4467368277202, 0.043565975978197 51.4461769565688, 0.043565975978197 51.445057193672, 0.045121903691724 51.4444973019267, 0.046677831405252 51.445057193672, 0.046677831405252 51.4461769565688, 0.045121903691724 51.4467368277202))"
20,"POLYGON((0.066904891681106 51.4467368277202, 0.065348963967579 51.4461769565688, 0.065348963967579 51.445057193672, 0.066904891681106 51.4444973019267, 0.068460819394633 51.445057193672, 0.068460819394633 51.4461769565688, 0.066904891681106 51.4467368277202))"
21,"POLYGON((-0.091799735098675 51.4467368277202, -0.093355662812203 51.4461769565688, -0.093355662812203 51.445057193672, -0.091799735098675 51.4444973019267, -0.090243807385148 51.445057193672, -0.090243807385148 51.4461769565688, -0.091799735098675 51.4467368277202))"
22,"POLYGON((0.048233759118779 51.4467368277202, 0.046677831405252 51.4461769565688, 0.046677831405252 51.445057193672, 0.048233759118779 51.4444973019267, 0.049789686832306 51.445057193672, 0.049789686832306 51.4461769565688, 0.048233759118779 51.4467368277202))"
23,"POLYGON((0.070016747108161 51.4467368277202, 0.068460819394633 51.4461769565688, 0.068460819394633 51.445057193672, 0.070016747108161 51.4444973019267, 0.071572674821688 51.445057193672, 0.071572674821688 51.4461769565688, 0.070016747108161 51.4467368277202))"
24,"POLYGON((0.057569325399942 51.4467368277202, 0.056013397686415 51.4461769565688, 0.056013397686415 51.445057193672, 0.057569325399942 51.4444973019267, 0.05912525311347 51.445057193672, 0.05912525311347 51.4461769565688, 0.057569325399942 51.4467368277202))"
25,"POLYGON((-0.194490964191475 51.4467368277202, -0.196046891905003 51.4461769565688, -0.196046891905003 51.445057193672, -0.194490964191475 51.4444973019267, -0.192935036477948 51.445057193672, -0.192935036477948 51.4461769565688, -0.194490964191475 51.4467368277202))"
26,"POLYGON((0.073128602535215 51.4467368277202, 0.071572674821688 51.4461769565688, 0.071572674821688 51.445057193672, 0.073128602535215 51.4444973019267, 0.074684530248742 51.445057193672, 0.074684530248742 51.4461769565688, 0.073128602535215 51.4467368277202))"
27,"POLYGON((-0.090243807385148 51.4484163999871, -0.091799735098675 51.4478565494293, -0.091799735098675 51.4467368277202, -0.090243807385148 51.4461769565688, -0.088687879671621 51.4467368277202, -0.088687879671621 51.4478565494294, -0.090243807385148 51.4484163999871))"
28,"POLYGON((-0.168040193061512 51.4484163999871, -0.169596120775039 51.4478565494293, -0.169596120775039 51.4467368277202, -0.168040193061512 51.4461769565688, -0.166484265347984 51.4467368277202, -0.166484265347984 51.4478565494293, -0.168040193061512 51.4484163999871))"
29,"POLYGON((0.074684530248742 51.4484163999871, 0.073128602535215 51.4478565494293, 0.073128602535215 51.4467368277202, 0.074684530248742 51.4461769565688, 0.07624045796227 51.4467368277202, 0.07624045796227 51.4478565494293, 0.074684530248742 51.4484163999871))"
30,"POLYGON((0.071572674821688 51.4484163999871, 0.070016747108161 51.4478565494293, 0.070016747108161 51.4467368277202, 0.071572674821688 51.4461769565688, 0.073128602535215 51.4467368277202, 0.073128602535215 51.4478565494293, 0.071572674821688 51.4484163999871))"
31,"POLYGON((-0.00933556628173 51.4484163999871, -0.010891493995257 51.4478565494293, -0.010891493995257 51.4467368277202, -0.00933556628173 51.4461769565688, -0.007779638568203 51.4467368277202, -0.007779638568203 51.4478565494293, -0.00933556628173 51.4484163999871))"
32,"POLYGON((-0.108914939947475 51.4484163999871, -0.110470867661003 51.4478565494293, -0.110470867661003 51.4467368277202, -0.108914939947475 51.4461769565688, -0.107359012233948 51.4467368277202, -0.107359012233948 51.4478565494293, -0.108914939947475 51.4484163999871))"
33,"POLYGON((0.068460819394633 51.4484163999871, 0.066904891681106 51.4478565494293, 0.066904891681106 51.4467368277202, 0.068460819394633 51.4461769565688, 0.070016747108161 51.4467368277202, 0.070016747108161 51.4478565494293, 0.068460819394633 51.4484163999871))"
34,"POLYGON((0.056013397686415 51.4484163999871, 0.054457469972888 51.4478565494293, 0.054457469972888 51.4467368277202, 0.056013397686415 51.4461769565688, 0.057569325399942 51.4467368277202, 0.057569325399942 51.4478565494293, 0.056013397686415 51.4484163999871))"
